state,city,abbr,city_id,white,black,hispanic,asian,american_indian,alaskan_native,native_hawaiian,city_k12,city_teacher,state_k12,state_teacher
Alabama,Birmingham,AL,1,0,1,1,1,1,0,0,0.555947125,0.289679915,0.381079435,0.209634274
Alabama,Birmingham,AL,1,0,1,1,1,1,0,1,0.555988491,0.289679915,0.381363064,0.210208535
Alabama,Birmingham,AL,1,0,1,1,1,1,1,0,0.555947125,0.289679915,0.381079435,0.209634274
Alabama,Birmingham,AL,1,0,1,1,1,1,1,1,0.555988491,0.289679915,0.381363064,0.210208535
Alabama,Birmingham,AL,1,1,0,0,0,0,0,0,0.420950472,0.700163126,0.588500023,0.781629801
Alabama,Birmingham,AL,1,1,0,0,0,0,0,1,0.420991808,0.700163126,0.588783622,0.782204092
Alabama,Birmingham,AL,1,1,0,0,0,0,1,0,0.420950472,0.700163126,0.588500023,0.781629801
Alabama,Birmingham,AL,1,1,0,0,0,0,1,1,0.420991808,0.700163126,0.588783622,0.782204092
Alabama,Birmingham,AL,1,1,0,0,0,1,0,0,0.422347128,0.700163126,0.592652977,0.78428477
Alabama,Birmingham,AL,1,1,0,0,0,1,0,1,0.422388464,0.700163126,0.592936575,0.784859061
Alabama,Birmingham,AL,1,1,0,0,0,1,1,0,0.422347128,0.700163126,0.592652977,0.78428477
Alabama,Birmingham,AL,1,1,0,0,0,1,1,1,0.422388464,0.700163126,0.592936575,0.784859061
Alabama,Birmingham,AL,1,1,0,0,1,0,0,0,0.437294692,0.706919134,0.600311279,0.786629081
Alabama,Birmingham,AL,1,1,0,0,1,0,0,1,0.437336028,0.706919134,0.600594878,0.787203372
Alabama,Birmingham,AL,1,1,0,0,1,0,1,0,0.437294692,0.706919134,0.600311279,0.786629081
Alabama,Birmingham,AL,1,1,0,0,1,0,1,1,0.437336028,0.706919134,0.600594878,0.787203372
Alabama,Birmingham,AL,1,1,0,0,1,1,0,0,0.438691348,0.706919134,0.604464233,0.78928405
Alabama,Birmingham,AL,1,1,0,0,1,1,0,1,0.438732684,0.706919134,0.604747832,0.789858341
Alabama,Birmingham,AL,1,1,0,0,1,1,1,0,0.438691348,0.706919134,0.604464233,0.78928405
Alabama,Birmingham,AL,1,1,0,0,1,1,1,1,0.438732684,0.706919134,0.604747832,0.789858341
Alabama,Birmingham,AL,1,1,0,1,0,0,0,0,0.47682634,0.7035411,0.648442388,0.791038334
Alabama,Birmingham,AL,1,1,0,1,0,0,0,1,0.476867676,0.7035411,0.648725986,0.791612625
Alabama,Birmingham,AL,1,1,0,1,0,0,1,0,0.47682634,0.7035411,0.648442388,0.791038334
Alabama,Birmingham,AL,1,1,0,1,0,0,1,1,0.476867676,0.7035411,0.648725986,0.791612625
Alabama,Birmingham,AL,1,1,0,1,0,1,0,0,0.478222996,0.7035411,0.652595341,0.793693304
Alabama,Birmingham,AL,1,1,0,1,0,1,0,1,0.478264332,0.7035411,0.65287894,0.794267595
Alabama,Birmingham,AL,1,1,0,1,0,1,1,0,0.478222996,0.7035411,0.652595341,0.793693304
Alabama,Birmingham,AL,1,1,0,1,0,1,1,1,0.478264332,0.7035411,0.65287894,0.794267595
Alabama,Birmingham,AL,1,1,0,1,1,0,0,0,0.493170559,0.710297108,0.660253644,0.796037614
Alabama,Birmingham,AL,1,1,0,1,1,0,0,1,0.493211895,0.710297108,0.660537243,0.796611905
Alabama,Birmingham,AL,1,1,0,1,1,0,1,0,0.493170559,0.710297108,0.660253644,0.796037614
Alabama,Birmingham,AL,1,1,0,1,1,0,1,1,0.493211895,0.710297108,0.660537243,0.796611905
Alabama,Birmingham,AL,1,1,0,1,1,1,0,0,0.494567215,0.710297108,0.664406598,0.798692584
Alabama,Birmingham,AL,1,1,0,1,1,1,0,1,0.494608551,0.710297108,0.664690197,0.799266875
Alabama,Birmingham,AL,1,1,0,1,1,1,1,0,0.494567215,0.710297108,0.664406598,0.798692584
Alabama,Birmingham,AL,1,1,0,1,1,1,1,1,0.494608551,0.710297108,0.664690197,0.799266875
Alabama,Birmingham,AL,1,1,1,0,0,0,0,0,0.903280795,0.979709029,0.893672884,0.974201322
Alabama,Birmingham,AL,1,1,1,0,0,0,0,1,0.90332216,0.979709029,0.893956482,0.974775612
Alabama,Birmingham,AL,1,1,1,0,0,0,1,0,0.903280795,0.979709029,0.893672884,0.974201322
